m = 2 ; m` = 109 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 3 ; m` = 477 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 4 ; m` = 101 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 5 ; m` = 377 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 6 ; m` = 161 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 7 ; m` = 45 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 8 ; m` = 407 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 9 ; m` = 175 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 10 ; m` = 452 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 11 ; m` = 239 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 12 ; m` = 468 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 13 ; m` = 238 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 14 ; m` = 193 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 15 ; m` = 184 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 16 ; m` = 188 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 17 ; m` = 24 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 18 ; m` = 227 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 19 ; m` = 152 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 20 ; m` = 381 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 21 ; m` = 261 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 22 ; m` = 135 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 23 ; m` = 120 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 24 ; m` = 358 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 25 ; m` = 180 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 27 ; m` = 426 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 28 ; m` = 422 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 29 ; m` = 15 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 32 ; m` = 466 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 33 ; m` = 326 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 34 ; m` = 260 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 35 ; m` = 473 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 36 ; m` = 5 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 38 ; m` = 76 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 39 ; m` = 438 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 40 ; m` = 299 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 41 ; m` = 173 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 42 ; m` = 177 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 43 ; m` = 282 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 44 ; m` = 579 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 45 ; m` = 7 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 46 ; m` = 122 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 47 ; m` = 498 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 48 ; m` = 148 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 49 ; m` = 258 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 50 ; m` = 183 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 51 ; m` = 257 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 52 ; m` = 478 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 53 ; m` = 507 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 54 ; m` = 492 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 55 ; m` = 575 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 58 ; m` = 457 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 59 ; m` = 546 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 60 ; m` = 325 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 61 ; m` = 557 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 62 ; m` = 434 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 63 ; m` = 218 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 64 ; m` = 140 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 65 ; m` = 198 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 66 ; m` = 194 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 67 ; m` = 129 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 69 ; m` = 107 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 70 ; m` = 314 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 71 ; m` = 516 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 72 ; m` = 545 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 73 ; m` = 549 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 74 ; m` = 499 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 75 ; m` = 455 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 76 ; m` = 38 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 77 ; m` = 153 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 78 ; m` = 33 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 79 ; m` = 458 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 80 ; m` = 196 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 81 ; m` = 586 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 82 ; m` = 9 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 83 ; m` = 292 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 84 ; m` = 445 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 85 ; m` = 213 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
