m = 1000 ; m` = 1000 ; p = 101 ; q = 109 ; n = 11009 ; eiler = 10800 ; eexp = 7 ; dexp = 1543
m = 1000 ; m` = 1000 ; p = 109 ; q = 101 ; n = 11009 ; eiler = 10800 ; eexp = 7 ; dexp = 1543
m = 1000 ; m` = 1000 ; p = 109 ; q = 101 ; n = 11009 ; eiler = 10800 ; eexp = 7 ; dexp = 1543
m = 1000 ; m` = 1000 ; p = 109 ; q = 101 ; n = 11009 ; eiler = 10800 ; eexp = 7 ; dexp = 1543
m = 1000 ; m` = 1000 ; p = 101 ; q = 109 ; n = 11009 ; eiler = 10800 ; eexp = 7 ; dexp = 1543
m = 1000 ; m` = 1000 ; p = 127 ; q = 113 ; n = 14351 ; eiler = 14112 ; eexp = 5 ; dexp = 5645
m = 1000 ; m` = 1000 ; p = 101 ; q = 109 ; n = 11009 ; eiler = 10800 ; eexp = 7 ; dexp = 1543
m = 150 ; m` = 150 ; p = -62 ; q = -43 ; n = 2666 ; eiler = 2772 ; eexp = 5 ; dexp = 1109
m = 700 ; m` = 700 ; p = -35 ; q = -52 ; n = 1820 ; eiler = 1908 ; eexp = 5 ; dexp = 1145
m = 700 ; m` = 700 ; p = -45 ; q = -44 ; n = 1980 ; eiler = 2070 ; eexp = 7 ; dexp = 1183
m = 700 ; m` = 700 ; p = -44 ; q = -45 ; n = 1980 ; eiler = 2070 ; eexp = 7 ; dexp = 1183
m = 700 ; m` = 700 ; p = -45 ; q = -44 ; n = 1980 ; eiler = 2070 ; eexp = 7 ; dexp = 1183
m = 150 ; m` = 150 ; p = -41 ; q = -42 ; n = 1722 ; eiler = 1806 ; eexp = 5 ; dexp = 1445
m = 20 ; m` = 20 ; p = -19 ; q = -20 ; n = 380 ; eiler = 420 ; eexp = 11 ; dexp = 191
m = 20 ; m` = 20 ; p = -19 ; q = -20 ; n = 380 ; eiler = 420 ; eexp = 11 ; dexp = 191
m = 20 ; m` = 20 ; p = -19 ; q = -28 ; n = 532 ; eiler = 580 ; eexp = 3 ; dexp = 387
m = 20 ; m` = 20 ; p = -19 ; q = -20 ; n = 380 ; eiler = 420 ; eexp = 11 ; dexp = 191
m = 20 ; m` = 20 ; p = -19 ; q = -20 ; n = 380 ; eiler = 420 ; eexp = 11 ; dexp = 191
m = 20 ; m` = 20 ; p = -20 ; q = -19 ; n = 380 ; eiler = 420 ; eexp = 11 ; dexp = 191
m = 20 ; m` = 20 ; p = -28 ; q = -19 ; n = 532 ; eiler = 580 ; eexp = 3 ; dexp = 387
m = 20 ; m` = 20 ; p = -19 ; q = -28 ; n = 532 ; eiler = 580 ; eexp = 3 ; dexp = 387
m = 11 ; m` = 11 ; p = -20 ; q = -19 ; n = 380 ; eiler = 420 ; eexp = 11 ; dexp = 191
m = 11 ; m` = 11 ; p = -20 ; q = -19 ; n = 380 ; eiler = 420 ; eexp = 11 ; dexp = 191
m = 11 ; m` = 11 ; p = -24 ; q = -16 ; n = 384 ; eiler = 425 ; eexp = 2 ; dexp = 213
m = 11 ; m` = 11 ; p = -20 ; q = -19 ; n = 380 ; eiler = 420 ; eexp = 11 ; dexp = 191
m = 11 ; m` = 11 ; p = -15 ; q = -8 ; n = 120 ; eiler = 144 ; eexp = 5 ; dexp = 29
m = 11 ; m` = 11 ; p = -15 ; q = -8 ; n = 120 ; eiler = 144 ; eexp = 5 ; dexp = 29
m = 11 ; m` = 11 ; p = -19 ; q = -20 ; n = 380 ; eiler = 420 ; eexp = 11 ; dexp = 191
m = 11 ; m` = 11 ; p = -15 ; q = -8 ; n = 120 ; eiler = 144 ; eexp = 5 ; dexp = 29
m = 11 ; m` = 11 ; p = -16 ; q = -24 ; n = 384 ; eiler = 425 ; eexp = 2 ; dexp = 213
m = 11 ; m` = 11 ; p = -16 ; q = -24 ; n = 384 ; eiler = 425 ; eexp = 2 ; dexp = 213
m = 11 ; m` = 11 ; p = -8 ; q = -15 ; n = 120 ; eiler = 144 ; eexp = 5 ; dexp = 29
m = 11 ; m` = 11 ; p = -16 ; q = -24 ; n = 384 ; eiler = 425 ; eexp = 2 ; dexp = 213
m = 11 ; m` = 11 ; p = -20 ; q = -19 ; n = 380 ; eiler = 420 ; eexp = 11 ; dexp = 191
m = 11 ; m` = 11 ; p = -8 ; q = -15 ; n = 120 ; eiler = 144 ; eexp = 5 ; dexp = 29
